num_task,cpu-allocated,memory-allocated,resolution,time-elapsed,task-clock(ms),context-switches,cpu-migrations,page-faults,avg-fps,avg-q,avg-bitrate(kbits/s),avg-process-CPU(%),avg-process-Memory(MB),avg-system-CPU(%),avg-system-Memory(%),frame_generated
18,5,8322793472,480,125.44,34618.14,38799.89,2467.61,21066.33,28.12,23.88,0.00,27.64,159.65,98.43,37.87,3525.45606632604
18,5,8322793472,480,125.27,34566.99,38808.78,2465.00,20763.33,27.70,23.91,0.00,27.64,159.81,98.45,37.97,3497.243718110992
18,5,8322793472,480,125.43,34660.19,38986.06,2450.94,20136.61,27.68,23.89,0.00,27.73,159.86,98.42,37.88,3491.8634557711803
18,5,8322793472,480,125.07,34568.58,38860.33,2459.00,21649.50,28.02,23.88,0.00,27.63,159.56,98.43,37.86,3518.46707077057
19,5,8322793472,480,133.14,34859.50,38804.16,2436.32,19854.68,25.26,23.90,0.00,26.24,159.90,98.59,39.42,3447.9536022742554
19,5,8322793472,480,130.07,33629.29,38407.42,2447.74,19500.68,26.84,23.93,0.00,26.26,159.58,98.51,39.27,3505.0883138884665
19,5,8322793472,480,130.99,34269.44,38751.58,2439.21,19074.79,26.82,23.87,0.00,26.24,159.70,98.51,39.33,3518.031687324897
19,5,8322793472,480,131.30,34326.07,38797.74,2458.47,19556.42,26.18,23.90,0.00,26.19,159.18,98.52,39.32,3471.4360359823836
19,5,8322793472,480,131.29,34391.66,40100.68,2412.37,20732.00,26.57,23.90,0.00,26.26,159.33,98.56,39.22,3507.266289981991
19,5,8322793472,480,132.41,34572.03,40016.47,2428.21,19209.11,26.28,23.91,0.00,26.16,159.35,98.56,39.33,3503.4576107332427
19,5,8322793472,480,129.20,33895.49,39877.68,2386.63,20674.26,26.85,23.93,0.00,26.28,158.96,98.62,39.10,3500.4990367907158
19,5,8322793472,480,132.19,34495.62,39976.26,2444.47,20137.42,26.13,23.89,0.00,26.16,159.88,98.58,39.39,3478.0790096988217
20,5,8322793472,480,138.02,34360.54,39806.90,2416.35,19277.85,25.29,23.94,0.00,24.93,159.09,98.64,40.70,3523.511165892188
20,5,8322793472,480,141.97,35353.87,39796.20,2461.25,18287.35,23.66,23.92,0.00,24.97,159.56,98.75,40.84,3440.9252765902406
20,5,8322793472,480,140.29,34840.71,39942.35,2404.25,21191.95,25.24,23.91,0.00,24.89,159.53,98.69,40.85,3538.157823236225
20,5,8322793472,480,140.12,34933.23,40221.10,2397.35,20773.70,24.80,23.91,0.00,24.98,159.32,98.69,40.75,3503.303061735825
20,5,8322793472,480,140.41,35001.01,40074.15,2422.20,21284.10,24.81,23.90,0.00,24.94,159.48,98.69,40.86,3517.626051769442
20,5,8322793472,480,139.08,34705.81,40013.15,2443.90,19942.60,24.84,23.91,0.00,24.96,159.42,98.70,40.77,3492.3259473929406
20,5,8322793472,480,138.36,34419.98,39847.05,2405.90,20977.55,25.29,23.92,0.00,24.92,159.46,98.68,40.81,3511.108186605071
20,5,8322793472,480,139.33,34561.57,39952.25,2406.60,21611.05,25.42,23.90,0.00,24.93,159.48,98.69,40.83,3541.3133118160936
21,5,8322793472,480,147.09,34773.22,40133.52,2397.19,19873.52,23.87,23.90,0.00,23.69,159.44,98.77,42.35,3517.0556090183713
21,5,8322793472,480,149.21,35485.97,38609.29,2286.48,19857.10,23.53,23.92,0.00,23.79,159.86,98.88,42.39,3523.305183392672
21,5,8322793472,480,145.32,34380.47,39737.81,2376.57,17582.38,24.17,23.88,0.00,23.70,158.82,98.80,42.28,3523.140150162652
21,5,8322793472,480,144.92,33700.59,38818.00,2319.86,16775.14,24.15,23.89,0.00,23.73,159.59,98.81,42.39,3517.840430091606
21,5,8322793472,480,147.24,34798.09,39844.81,2361.14,21052.62,24.11,23.90,0.00,23.69,159.77,98.78,42.48,3543.321352090102
21,5,8322793472,480,146.29,34208.95,39401.48,2366.05,18697.10,23.79,23.90,0.00,23.80,159.25,98.79,42.29,3505.198212104223
21,5,8322793472,480,146.65,34708.63,39991.43,2378.19,19688.95,24.02,23.91,0.00,23.69,159.65,98.80,42.45,3528.8849528869255
21,5,8322793472,480,147.94,34652.24,39578.33,2352.52,19051.38,23.40,23.89,0.00,23.75,160.02,98.82,42.53,3488.6502497991933
22,5,8322793472,480,154.67,34969.64,39708.91,2259.32,20080.73,21.46,23.93,0.00,22.68,159.16,98.86,43.93,3433.952151657714
22,5,8322793472,480,155.69,35231.92,39869.41,2395.18,20921.95,22.33,23.95,0.00,22.70,159.48,98.85,43.92,3497.854913290321
22,5,8322793472,480,152.58,34468.36,39741.41,2340.73,18730.05,23.10,23.93,0.00,22.64,159.07,98.93,43.85,3525.1479549501323
22,5,8322793472,480,155.83,34952.42,39676.59,2395.41,18883.36,22.38,23.90,0.00,22.74,159.59,98.95,43.91,3506.0819032857457
22,5,8322793472,480,156.17,35160.75,39024.91,2280.18,17727.23,22.58,23.91,0.00,22.66,159.81,98.90,44.07,3520.1090608546
22,5,8322793472,480,151.15,34316.93,39718.14,2372.18,17048.05,22.96,23.92,0.00,22.71,159.27,98.84,43.89,3497.354419853578
22,5,8322793472,480,153.53,34823.37,39743.91,2311.86,21330.77,22.53,23.93,0.00,22.72,159.61,98.85,43.98,3494.205661802921
22,5,8322793472,480,156.76,35485.93,39845.18,2377.68,18452.73,22.27,23.90,0.00,22.67,160.06,98.88,44.00,3507.8165570419947
6,5,8322793472,720,62.49,50697.04,42849.00,2372.83,22599.67,53.89,23.96,0.00,81.41,222.32,95.96,24.31,3427.54920216841
6,5,8322793472,720,62.99,49690.73,41391.00,2366.83,21408.00,49.49,23.92,0.00,81.83,221.91,95.97,24.22,3338.07936741192
6,5,8322793472,720,62.30,50873.65,41992.83,2351.83,25278.00,53.04,23.97,0.00,81.89,222.53,96.21,24.30,3421.69371518182
6,5,8322793472,720,64.81,52688.77,42567.83,2388.83,19289.17,48.53,23.96,0.00,81.84,223.55,95.94,24.40,3355.094630293766
6,5,8322793472,720,63.47,49885.81,41673.33,2382.50,20397.67,54.88,23.94,0.00,81.21,223.85,95.97,24.46,3513.236538799903
6,5,8322793472,720,62.46,50900.58,43022.17,2381.00,21067.33,57.72,23.96,0.00,81.76,223.06,95.82,24.32,3580.377969109588
6,5,8322793472,720,61.13,50151.30,42243.33,2342.17,22137.00,55.19,23.94,0.00,82.11,221.52,95.87,24.28,3449.0433806849283
6,5,8322793472,720,63.97,51772.89,43088.83,2422.67,23010.17,50.95,23.93,0.00,81.54,222.36,95.92,24.34,3394.6447917235887
8,5,8322793472,720,83.06,51618.18,42171.38,2361.38,22928.00,41.28,24.02,0.00,62.15,222.49,97.07,28.89,3476.788372601848
8,5,8322793472,720,83.71,50691.99,41568.38,2340.12,21773.25,40.32,23.99,0.00,61.92,223.24,97.17,28.80,3460.612723808228
8,5,8322793472,720,78.44,48778.43,41510.75,2338.12,22853.25,42.70,23.95,0.00,62.35,221.17,96.93,28.52,3448.451655212207
8,5,8322793472,720,85.58,51772.65,42004.88,2341.12,19275.50,41.62,24.00,0.00,62.04,223.93,97.13,28.68,3541.8055567351794
8,5,8322793472,720,82.71,51602.15,42225.50,2322.25,24279.38,41.68,23.96,0.00,62.46,222.77,97.13,28.55,3496.9537519718697
8,5,8322793472,720,86.09,53101.79,42647.88,2326.75,25192.38,39.46,24.02,0.00,61.84,224.32,97.10,28.77,3479.282685846319
8,5,8322793472,720,84.83,49908.29,41070.00,2268.75,21554.12,41.69,23.96,0.00,61.96,223.76,97.15,28.76,3533.272210218325
8,5,8322793472,720,82.48,51167.41,42546.88,2284.88,23030.00,42.20,24.03,0.00,62.13,221.41,97.31,28.61,3502.2907492538425
10,5,8322793472,720,101.95,51145.05,42227.80,2427.40,21988.50,32.78,24.04,0.00,50.05,222.31,97.80,33.10,3448.446795821847
10,5,8322793472,720,102.26,51229.82,41811.50,2354.50,21752.40,33.85,24.04,0.00,50.08,222.24,97.74,33.06,3496.477033703297
10,5,8322793472,720,102.84,51344.68,41930.60,2401.20,22033.50,32.50,24.03,0.00,50.02,222.70,97.86,33.16,3433.615251328115
10,5,8322793472,720,99.96,49010.10,41433.50,2327.00,19874.90,35.34,23.99,0.00,50.01,222.12,97.74,33.00,3524.708915638867
10,5,8322793472,720,102.57,51023.05,41885.30,2368.10,21654.70,32.68,24.04,0.00,49.72,221.89,97.86,33.10,3447.2954338646573
10,5,8322793472,720,100.45,50421.37,41962.50,2393.40,23030.90,34.18,23.98,0.00,50.07,222.05,97.85,33.14,3490.8651154033396
10,5,8322793472,720,100.06,48771.69,41106.30,2417.00,20661.70,32.93,24.00,0.00,49.85,221.31,97.79,33.00,3426.4319718744955
10,5,8322793472,720,106.67,53086.17,42557.40,2416.00,21309.60,32.53,24.00,0.00,49.85,223.33,97.91,33.24,3506.9342813571734
12,5,8322793472,720,118.83,50022.84,40949.75,2413.75,22215.25,27.38,24.03,0.00,42.04,221.72,98.32,37.46,3401.022389931132
12,5,8322793472,720,119.26,50029.75,41429.00,2422.92,22816.08,27.91,24.04,0.00,41.92,221.90,98.27,37.52,3427.69406241356
12,5,8322793472,720,121.00,50626.90,41638.08,2424.25,22069.42,28.92,24.03,0.00,41.73,221.94,98.24,37.56,3512.797807611336
12,5,8322793472,720,122.50,51203.59,41764.33,2414.67,23854.67,27.33,24.00,0.00,41.77,222.25,98.29,37.66,3440.382196677328
12,5,8322793472,720,120.18,49709.31,41227.83,2389.00,21912.58,28.57,24.06,0.00,41.93,222.70,98.34,37.67,3482.1902720546373
12,5,8322793472,720,120.90,50631.55,41511.00,2422.42,20085.58,27.99,24.00,0.00,41.93,223.25,98.23,37.70,3448.9785116861317
12,5,8322793472,720,120.48,50589.28,41476.33,2460.17,25351.92,28.68,24.03,0.00,41.97,221.81,98.25,37.49,3497.4858887469304
12,5,8322793472,720,124.00,51909.93,41965.17,2439.67,23476.50,27.85,24.03,0.00,41.99,223.27,98.32,37.58,3491.5713406402374
13,5,8322793472,720,132.73,51295.94,41674.62,2474.54,22534.77,26.13,24.06,0.00,38.71,222.48,98.52,39.82,3516.5599232402824
13,5,8322793472,720,133.76,51619.66,42049.54,2496.54,21702.00,26.08,24.03,0.00,38.66,222.92,98.52,39.91,3499.628415742701
13,5,8322793472,720,130.11,50260.20,41645.46,2447.85,24103.77,26.38,24.02,0.00,38.66,222.90,98.46,39.95,3492.721381397368
13,5,8322793472,720,131.46,51100.71,41827.77,2433.92,23398.15,25.94,24.06,0.00,38.92,222.76,98.47,39.78,3480.560205930677
13,5,8322793472,720,132.88,51427.84,41921.15,2430.54,23335.69,25.70,24.05,0.00,38.62,222.32,98.48,39.93,3476.6699790380662
13,5,8322793472,720,132.74,51490.52,41699.85,2502.46,21473.15,24.86,24.03,0.00,38.81,221.22,98.52,39.73,3414.0463302441276
13,5,8322793472,720,130.87,50543.54,41507.92,2420.77,15175.15,24.83,24.03,0.00,38.69,222.65,98.42,39.94,3391.268914908794
13,5,8322793472,720,131.60,50692.25,42053.46,2422.54,23138.54,25.79,24.06,0.00,38.62,223.14,98.43,40.00,3464.291823069875
14,5,8322793472,720,143.38,51332.64,41409.07,2521.29,21253.50,22.87,24.04,0.00,35.77,221.68,98.69,42.13,3419.5392801484963
14,5,8322793472,720,139.39,49860.62,41194.57,2481.29,19218.86,23.34,24.07,0.00,35.77,221.39,98.58,42.00,3403.0577115097726
14,5,8322793472,720,144.13,51739.46,41753.57,2549.93,20009.93,24.34,24.04,0.00,35.98,222.92,98.65,39.59,3525.8112640983927
14,5,8322793472,720,141.45,50878.43,41565.93,2488.64,19750.07,24.20,24.05,0.00,36.10,221.96,98.61,38.30,3470.8762227196994
14,5,8322793472,720,137.55,49585.17,38637.71,2447.07,21860.93,25.57,24.05,0.00,36.14,221.56,98.48,37.29,3525.046998461445
14,5,8322793472,720,134.37,48448.90,38409.57,2435.79,21274.00,25.30,24.07,0.00,36.09,220.29,98.46,37.14,3457.2222610570648
14,5,8322793472,720,139.04,49718.78,38243.07,2402.57,21060.50,24.02,24.02,0.00,35.92,221.80,98.60,37.31,3447.8382794650456
14,5,8322793472,720,142.61,50547.63,38386.57,2474.14,20965.93,23.48,24.08,0.00,35.93,222.84,98.59,37.37,3440.8882104299228
15,5,8322793472,720,150.23,50676.12,38508.93,2465.47,24402.13,22.35,24.03,0.00,33.78,222.28,98.67,39.49,3457.2699634382243
15,5,8322793472,720,151.23,51154.19,38807.20,2479.73,20264.67,22.52,24.05,0.00,33.87,222.92,98.69,39.58,3464.2588203447235
15,5,8322793472,720,147.00,49605.53,38487.07,2371.27,22772.13,22.95,24.07,0.00,33.77,222.21,98.67,39.56,3458.5508189838743
15,5,8322793472,720,149.78,50773.90,39118.33,2504.07,21884.80,22.31,24.08,0.00,33.88,221.86,98.66,39.38,3446.1043153290725
15,5,8322793472,720,147.08,49480.72,38342.40,2488.33,22762.27,22.60,24.07,0.00,33.59,221.56,98.66,39.54,3440.7631580943516
15,5,8322793472,720,148.37,50161.38,38815.07,2469.07,22155.40,23.17,24.04,0.00,33.86,221.47,98.65,39.45,3479.7150938640048
15,5,8322793472,720,150.27,50026.07,38384.47,2455.67,19845.13,22.76,24.06,0.00,33.75,222.23,98.64,39.60,3484.2374590954237
15,5,8322793472,720,145.96,49166.04,38421.73,2396.87,21284.93,23.40,24.06,0.00,33.74,222.02,98.74,39.57,3480.3809201845434
16,5,8322793472,720,158.84,50360.20,38885.81,2496.19,22637.44,21.61,24.05,0.00,31.78,222.30,98.81,41.67,3492.1935281381784
16,5,8322793472,720,158.47,49604.63,38188.75,2492.44,17409.44,21.34,24.05,0.00,31.77,221.53,98.74,41.56,3453.827702735064
16,5,8322793472,720,157.94,49742.81,38035.19,2431.44,20654.25,21.37,24.06,0.00,31.85,221.89,98.76,41.61,3440.4487157852686
16,5,8322793472,720,159.47,50106.10,38757.38,2460.44,21978.50,22.15,24.07,0.00,31.44,222.91,98.76,41.96,3532.8824923242905
16,5,8322793472,720,156.39,49566.23,38651.06,2433.44,22571.62,21.42,24.04,0.00,31.75,222.04,98.77,41.76,3439.4888466168054
16,5,8322793472,720,157.56,49770.91,38477.81,2428.38,19933.25,21.27,24.03,0.00,31.60,221.33,98.80,41.66,3440.083736938041
16,5,8322793472,720,161.39,50587.59,38569.56,2541.88,22562.31,21.04,24.07,0.00,31.41,222.76,98.80,41.90,3464.287958904292
16,5,8322793472,720,160.02,50395.88,38750.75,2491.88,23001.38,21.31,24.05,0.00,31.52,222.71,98.81,41.92,3479.0988998084676
18,5,8322793472,720,185.20,51958.91,38929.11,2584.00,22106.11,18.69,24.08,0.00,28.09,223.51,99.03,46.59,3498.224216555458
18,5,8322793472,720,178.50,50084.57,38658.22,2562.28,18679.67,19.40,24.06,0.00,28.07,222.59,98.95,46.43,3498.6473818655836
18,5,8322793472,720,173.19,48791.51,38461.33,2487.94,21271.56,19.91,24.05,0.00,28.21,221.74,98.94,46.19,3489.008797308279
18,5,8322793472,720,178.58,50257.41,38480.83,2510.94,20917.22,18.88,24.07,0.00,28.22,221.37,98.95,46.11,3454.851463882133
18,5,8322793472,720,181.76,51068.24,38891.72,2538.39,22193.11,18.99,24.06,0.00,28.12,222.57,98.94,46.34,3488.1150670094557
18,5,8322793472,720,175.69,49424.26,38262.28,2433.83,19269.72,18.70,24.13,0.00,28.15,221.66,98.93,46.17,3407.6849101852786
18,5,8322793472,720,175.64,49067.58,38444.22,2474.78,18342.56,19.48,24.07,0.00,27.98,221.98,98.97,46.40,3480.6502171189964
18,5,8322793472,720,179.74,50529.80,38467.06,2478.89,20031.94,18.65,24.06,0.00,28.15,221.52,99.01,46.25,3448.4405632024204
19,5,8322793472,720,187.17,49870.26,38324.58,2513.53,21243.68,18.44,24.08,0.00,26.67,221.86,99.03,48.51,3488.251924204445
19,5,8322793472,720,195.57,51879.60,38774.68,2553.63,23340.26,17.45,24.07,0.00,26.58,223.60,99.10,48.84,3482.8619927572527
19,5,8322793472,720,189.08,50678.59,38457.47,2540.00,22512.74,17.74,24.08,0.00,26.86,222.39,99.04,48.46,3441.1932735184087
19,5,8322793472,720,187.82,49916.64,38606.79,2512.32,20995.79,17.90,24.08,0.00,26.64,222.90,99.04,48.68,3455.4383397536526
19,5,8322793472,720,186.60,49211.02,37934.89,2525.42,19344.16,18.59,24.08,0.00,26.64,221.51,99.08,48.47,3509.7451050998047
19,5,8322793472,720,187.95,49118.89,37673.05,2495.26,21142.58,18.28,24.08,0.00,26.72,221.97,99.02,48.46,3480.127909153718
19,5,8322793472,720,191.67,51043.83,38625.47,2566.16,20388.21,17.57,24.09,0.00,26.67,222.23,99.09,48.60,3456.121183340555
19,5,8322793472,720,186.51,49537.32,38225.68,2492.95,22040.21,18.63,24.08,0.00,26.58,221.79,99.06,48.56,3500.7547591346024
20,5,8322793472,720,197.99,50034.91,38134.45,2577.30,21431.40,17.29,24.09,0.00,25.53,222.20,99.12,50.76,3484.1311002327666
20,5,8322793472,720,196.12,49777.83,38211.15,2503.85,20367.00,17.79,24.11,0.00,25.37,222.28,99.11,50.79,3503.265149714696
20,5,8322793472,720,202.30,51428.83,38698.35,2554.20,15795.85,16.80,24.11,0.00,25.48,222.68,99.10,50.76,3473.3759096092203
20,5,8322793472,720,202.95,51421.56,38735.65,2614.25,21672.15,15.97,24.08,0.00,25.38,222.44,99.13,51.04,3392.350486760331
20,5,8322793472,720,199.84,50691.41,38724.85,2573.10,23028.45,17.39,24.08,0.00,25.39,223.22,99.16,51.26,3502.8446669633754
20,5,8322793472,720,196.67,49720.01,38575.90,2557.55,20826.15,17.72,24.09,0.00,25.31,221.66,99.14,51.03,3509.4243484372046
20,5,8322793472,720,196.67,48992.34,37824.00,2503.85,19092.45,17.05,24.09,0.00,25.48,222.21,99.11,50.89,3441.8342036553317
20,5,8322793472,720,199.92,50823.82,38569.75,2527.95,21354.20,17.32,24.06,0.00,25.45,222.48,99.14,50.99,3487.8826917539614
4,5,8322793472,1080,64.14,79106.93,46207.50,2023.00,17625.75,50.33,23.97,0.00,123.57,368.88,95.14,21.82,3376.6408836639507
4,5,8322793472,1080,68.64,83189.97,46671.00,2177.00,18908.25,48.29,24.03,0.00,121.61,369.84,95.14,21.97,3408.640283239254
4,5,8322793472,1080,65.63,80867.30,45731.00,2120.50,17342.50,49.24,24.05,0.00,123.37,368.32,95.19,21.87,3381.8760245196154
4,5,8322793472,1080,67.39,77730.82,42894.25,2110.50,14598.25,51.47,24.01,0.00,123.10,369.23,95.23,21.88,3480.569880572051
4,5,8322793472,1080,63.88,74189.94,42135.75,2044.25,14182.25,51.57,23.96,0.00,122.80,367.68,95.05,21.87,3407.373721965523
4,5,8322793472,1080,64.38,77201.78,44313.50,2079.50,16064.00,51.60,24.06,0.00,123.50,367.87,95.01,21.79,3425.1227884382097
4,5,8322793472,1080,65.88,78530.40,44364.50,2074.00,15246.50,46.89,23.98,0.00,123.31,367.71,95.18,21.80,3296.331310912189
4,5,8322793472,1080,64.18,76537.58,44159.00,2008.50,15352.25,53.18,23.99,0.00,122.47,368.21,94.83,21.87,3491.3989205027947
6,5,8322793472,1080,98.04,82428.16,45828.33,2174.17,19568.50,33.49,24.09,0.00,84.23,368.88,96.88,29.63,3387.632910128988
6,5,8322793472,1080,97.51,81753.73,45624.33,2123.17,16385.83,34.89,24.10,0.00,83.89,369.47,97.01,29.86,3453.1699802057615
6,5,8322793472,1080,96.04,76413.46,42993.17,2104.83,15441.33,35.46,24.07,0.00,83.24,369.01,96.98,29.89,3457.093440731163
6,5,8322793472,1080,97.86,80829.45,45660.33,2160.00,17398.00,35.96,24.10,0.00,83.01,368.91,96.95,29.82,3543.583646313815
6,5,8322793472,1080,95.68,79689.49,45915.00,2131.50,16852.83,34.52,24.07,0.00,83.44,367.37,97.07,29.69,3432.5471520616557
6,5,8322793472,1080,95.35,79566.42,45798.67,2129.83,21523.17,38.11,24.05,0.00,83.76,367.99,96.88,29.78,3578.0461882731415
6,5,8322793472,1080,93.53,77505.08,45518.67,2129.33,17084.83,37.12,24.11,0.00,83.03,368.08,96.90,29.85,3494.2317564487785
6,5,8322793472,1080,97.70,79791.55,44283.50,2138.83,16082.83,35.43,24.05,0.00,83.58,368.78,97.05,29.84,3503.0379222528973
7,5,8322793472,1080,109.25,77873.98,44418.14,2190.14,16002.43,30.69,24.07,0.00,72.46,367.04,97.43,33.56,3424.201856853837
7,5,8322793472,1080,110.23,79194.16,45123.43,2223.29,15113.57,29.71,24.09,0.00,71.92,368.67,97.58,33.73,3407.238972703505
7,5,8322793472,1080,114.94,79992.13,43848.71,2223.71,14380.86,29.46,24.09,0.00,72.24,368.22,97.55,33.64,3456.4427806411686
7,5,8322793472,1080,114.54,82321.82,45740.14,2154.86,18282.86,28.71,24.18,0.00,72.04,369.10,97.48,33.64,3410.772414353119
7,5,8322793472,1080,119.65,84782.31,46472.14,2247.57,18903.14,29.35,24.08,0.00,70.80,370.46,97.57,34.11,3520.8245165211947
7,5,8322793472,1080,115.67,82640.19,46046.29,2286.43,16596.14,28.96,24.15,0.00,71.73,368.41,97.42,33.70,3429.0224872714066
7,5,8322793472,1080,108.23,78095.11,44871.43,2151.29,15977.43,30.92,24.05,0.00,72.20,367.28,97.51,33.65,3411.9652142444343
7,5,8322793472,1080,106.23,74783.81,43675.14,2131.86,14486.43,32.85,24.08,0.00,71.62,367.49,97.35,33.78,3504.346335928359
8,5,8322793472,1080,132.03,82211.92,45080.00,2334.38,18591.62,26.05,24.14,0.00,63.18,369.40,97.84,37.71,3475.679647833371
8,5,8322793472,1080,121.39,76247.62,44506.75,2239.88,17079.75,26.73,24.11,0.00,62.78,366.97,97.77,37.82,3391.1167409259488
8,5,8322793472,1080,133.04,83858.64,45994.00,2349.25,17537.75,25.58,24.15,0.00,63.21,369.11,97.95,37.74,3454.4281688510864
8,5,8322793472,1080,128.04,80626.32,45632.25,2358.25,16535.50,25.70,24.15,0.00,63.15,368.87,97.96,37.75,3409.5762751004886
8,5,8322793472,1080,130.32,82200.55,46066.62,2340.50,19481.00,25.47,24.11,0.00,63.19,368.44,97.93,37.76,3418.111052765594
8,5,8322793472,1080,123.73,78710.87,44875.75,2280.00,18724.62,27.58,24.15,0.00,63.85,368.14,97.81,37.54,3466.3729598579603
8,5,8322793472,1080,126.15,78206.48,44006.00,2324.88,17445.12,26.83,24.13,0.00,63.12,368.06,97.94,37.82,3459.7821987191346
8,5,8322793472,1080,128.15,81274.16,45757.75,2269.62,19087.25,26.83,24.16,0.00,63.47,368.22,97.91,37.58,3474.3691738320495
9,5,8322793472,1080,145.86,82113.53,45769.78,2339.33,17256.89,23.99,24.11,0.00,56.20,368.96,98.41,41.62,3499.6559733579884
9,5,8322793472,1080,137.97,77839.94,45078.22,2361.22,16746.78,24.69,24.15,0.00,56.60,368.87,98.14,41.62,3470.28096317176
9,5,8322793472,1080,140.31,79065.65,45235.56,2436.67,17013.89,22.51,24.14,0.00,56.31,367.46,98.11,41.61,3338.0620698431053
9,5,8322793472,1080,151.47,84195.81,46488.44,2535.11,20830.78,22.00,24.18,0.00,55.68,369.78,98.28,41.97,3429.8529356913295
9,5,8322793472,1080,150.44,84479.63,46527.67,2466.00,17833.89,22.27,24.16,0.00,56.35,369.41,98.23,41.74,3441.3214384679413
9,5,8322793472,1080,143.65,80289.78,45724.22,2387.00,13168.00,22.82,24.16,0.00,55.98,367.67,98.17,41.65,3400.559208961415
9,5,8322793472,1080,154.32,85661.78,46645.44,2518.44,18869.00,21.28,24.17,0.00,55.63,370.15,98.25,42.02,3413.0973316648424
9,5,8322793472,1080,150.87,84380.63,46315.33,2497.11,16998.78,23.01,24.18,0.00,55.95,368.84,98.19,41.85,3498.785486328015
10,5,8322793472,1080,156.94,79676.47,45060.70,2447.70,16402.00,21.15,24.16,0.00,50.81,368.09,98.47,45.67,3416.831963194059
10,5,8322793472,1080,154.64,77785.07,44631.10,2458.70,14488.10,21.59,24.20,0.00,50.93,368.31,98.43,45.75,3435.9816141866804
10,5,8322793472,1080,154.94,78530.08,45025.20,2496.60,18642.30,21.60,24.14,0.00,50.61,367.77,98.44,45.69,3415.7912842100545
10,5,8322793472,1080,160.16,78168.31,44125.80,2430.20,16060.10,22.10,24.19,0.00,50.12,367.78,98.47,45.87,3530.464560810046
10,5,8322793472,1080,162.85,81470.71,44786.20,2534.50,18656.30,21.24,24.15,0.00,50.58,368.97,98.49,45.79,3487.983153599265
10,5,8322793472,1080,155.85,78412.96,44757.50,2516.40,16438.80,21.39,24.16,0.00,50.18,366.75,98.41,45.72,3431.218725406038
10,5,8322793472,1080,158.75,80164.16,45525.60,2486.90,15123.10,20.87,24.13,0.00,50.50,367.25,98.46,45.80,3407.310878260014
10,5,8322793472,1080,158.15,80039.34,45226.90,2562.20,16473.00,21.78,24.13,0.00,50.75,367.36,98.44,45.66,3486.795455036623
11,5,8322793472,1080,168.01,77388.80,44491.55,2569.55,15462.64,19.92,24.18,0.00,46.14,366.39,98.63,49.75,3419.372901889756
11,5,8322793472,1080,171.38,79218.77,45022.73,2628.82,15241.64,20.18,24.17,0.00,46.35,367.68,98.62,49.49,3505.683758176363
11,5,8322793472,1080,175.64,80083.28,44995.64,2624.82,15288.91,18.87,24.19,0.00,46.20,369.13,98.63,49.71,3427.818081576755
11,5,8322793472,1080,175.93,80939.90,45771.45,2595.36,18505.09,18.97,24.19,0.00,46.09,369.33,98.67,49.79,3426.368027183796
11,5,8322793472,1080,181.49,83625.39,46434.82,2669.09,15238.36,19.24,24.19,0.00,46.08,369.73,98.68,49.87,3515.572994391655
11,5,8322793472,1080,167.84,77825.02,44661.64,2564.64,14367.82,19.97,24.17,0.00,46.45,367.93,98.57,49.55,3439.160776882229
11,5,8322793472,1080,176.97,81761.68,45526.91,2657.91,17729.55,18.73,24.16,0.00,46.21,367.47,98.66,49.57,3406.306172653407
11,5,8322793472,1080,172.58,79464.03,45550.27,2620.27,17389.45,18.47,24.19,0.00,45.99,367.67,98.64,49.68,3361.7681339294463
12,5,8322793472,1080,207.38,86180.86,46784.67,2835.67,16138.42,15.66,24.21,0.00,41.55,369.52,98.88,54.33,3385.2024569659684
12,5,8322793472,1080,187.19,79694.70,45158.25,2672.58,16106.17,18.14,24.18,0.00,42.58,367.43,98.82,53.58,3466.166288461028
12,5,8322793472,1080,189.42,80995.98,45753.50,2689.58,17866.50,17.84,24.21,0.00,42.78,368.39,98.77,53.35,3448.9616696595444
12,5,8322793472,1080,187.43,77760.10,44146.08,2638.33,18157.58,18.34,24.16,0.00,42.41,367.92,98.83,53.70,3485.0404956251336
12,5,8322793472,1080,192.27,81756.94,46090.83,2677.67,19600.25,17.82,24.19,0.00,42.61,368.91,98.81,53.58,3466.741773447198
12,5,8322793472,1080,198.25,83594.23,46002.42,2781.92,17154.42,17.38,24.19,0.00,42.17,369.31,98.84,53.96,3479.0313956095756
12,5,8322793472,1080,187.84,78405.56,44974.92,2636.17,16472.92,17.50,24.19,0.00,42.57,367.29,98.78,53.54,3394.0175113810214
12,5,8322793472,1080,189.77,80308.19,45820.33,2699.42,16422.33,17.64,24.19,0.00,42.24,368.30,98.72,53.67,3443.0913251508005
13,5,8322793472,1080,203.62,79987.33,45379.77,2710.54,17397.54,16.03,24.18,0.00,39.32,367.63,98.92,57.41,3386.5761040698103
13,5,8322793472,1080,211.02,82743.98,46403.62,2779.54,18527.38,15.76,24.19,0.00,39.26,368.58,98.96,57.56,3431.440293499725
13,5,8322793472,1080,201.38,79638.34,45167.31,2731.92,17977.00,16.84,24.19,0.00,39.60,367.72,98.92,57.46,3439.2331157240324
13,5,8322793472,1080,206.70,81131.21,45625.85,2748.77,18185.46,15.61,24.22,0.00,39.20,367.98,98.98,57.51,3372.6895525567347
