num_task, cpu-allocated, resolution, time-elapsed, task-clock(ms) ,context-switches ,cpu-migrations ,page-faults ,avg-fps ,avg-q ,avg-bitrate(kbits/s) ,avg-process-CPU(%) ,avg-process-Memory(MB) ,avg-system-CPU(%) ,avg-system-Memory(%)
8,10,480,121.96,87141.33,132984.88,31873.50,32248.25,29.49,23.80,0.00,77.12,229.50,61.11,58.17
12,10,480,121.52,68581.50,133368.17,36409.75,33072.50,29.49,23.79,0.00,56.85,229.37,67.49,67.78
16,10,480,121.50,54015.48,131536.31,38095.88,32550.06,29.49,23.79,0.00,44.76,229.26,71.07,77.39
20,10,480,121.32,43344.75,129603.65,39154.25,32752.80,29.49,23.79,0.00,35.94,213.04,71.13,87.19
24,10,480,121.29,38789.24,129563.92,34324.67,41299.46,29.49,23.79,0.00,32.15,198.80,76.71,96.65
28,10,480,121.41,36912.46,128385.54,25127.25,32328.00,29.49,23.79,0.00,30.90,229.54,86.00,78.99
32,10,480,121.91,36957.55,120656.09,5718.53,31713.12,29.08,23.80,0.00,30.57,229.01,97.26,88.74
36,10,480,0.00,0.00,0.00,0.00,0.00,25.89,23.82,0.00,27.58,194.18,98.22,97.38
40,10,480,3.21,462.54,1532.80,171.38,2894.22,11.86,23.61,0.00,28.57,189.74,95.57,98.01
33,10,480,124.47,37023.13,115253.91,5457.73,36879.79,28.05,23.77,0.00,30.02,229.31,98.03,89.61
34,10,480,0.00,0.00,0.00,0.00,0.00,26.91,23.81,0.00,29.07,212.84,98.10,91.95
35,10,480,0.00,0.00,0.00,0.00,0.00,26.99,23.79,0.00,28.37,206.20,98.16,93.88
33,10,480,124.09,36998.32,115403.58,5408.21,32986.39,27.89,23.77,0.00,30.00,225.88,98.04,89.45
34,10,480,76.99,22512.61,71071.62,3277.38,18252.35,27.73,23.78,0.00,29.17,218.07,98.07,91.83
16,10,720,121.36,56005.91,135771.12,33329.81,41385.69,29.47,23.84,0.00,46.36,324.91,73.79,67.20
20,10,720,121.51,53536.05,136149.20,21857.20,35818.25,29.49,23.85,0.00,44.31,328.45,88.18,82.32
24,10,720,0.00,0.00,0.00,0.00,0.00,26.74,23.85,0.00,41.49,297.44,98.44,96.38
28,10,720,0.00,0.00,0.00,0.00,0.00,14.90,23.09,0.00,38.89,278.23,93.01,96.69
==========
30,10,480,121.42,37320.60,128116.47,12941.00,33945.97,29.46,23.80,0.00,30.94,228.21,92.38,82.37
31,10,480,121.38,37430.81,125682.90,7059.87,32384.06,29.33,23.79,0.00,31.02,228.60,95.60,84.83
32,10,480,121.68,36750.20,122486.84,5739.28,32091.84,29.23,23.80,0.00,30.43,228.60,96.78,87.37
33,10,480,123.56,36782.06,116092.06,5503.70,30608.52,28.44,23.78,0.00,29.97,227.27,97.99,89.71
34,10,480,51.23,14903.53,47312.85,2133.76,13687.79,27.37,23.79,0.00,29.27,222.33,98.22,91.69
16,10,720,121.16,56272.80,134931.12,35741.69,43208.31,29.48,23.88,0.00,46.57,326.13,74.06,67.58
20,10,720,121.35,53358.22,135963.45,23153.30,31998.40,29.49,23.87,0.00,44.20,326.26,87.88,81.91
24,10,720,0.00,0.00,0.00,0.00,0.00,27.19,23.86,0.00,41.28,296.42,98.36,96.33
16,10,720,121.61,56914.61,134780.94,36849.38,36080.31,29.49,23.86,0.00,47.13,329.77,74.81,67.93
20,10,720,121.47,53186.51,136031.35,22041.00,33728.15,29.48,23.84,0.00,44.03,328.11,87.50,82.02
21,10,720,121.43,55180.06,131875.48,8533.90,37323.43,29.40,23.84,0.00,45.66,330.05,95.43,86.09
