num_task,cpu-allocated,resolution,time-elapsed,task-clock(ms),context-switches,cpu-migrations,page-faults,avg-fps,avg-q,avg-bitrate(kbits/s),avg-process-CPU(%),avg-process-Memory(MB),avg-system-CPU(%),avg-system-Memory(%)
42,15,480,119.10,42014.07,116577.79,5838.29,29491.31,29.48,23.82,0.00,35.46,259.71,98.32,61.53
42,15,480,116.88,40985.26,115277.24,5886.98,28301.12,29.68,23.80,0.00,35.52,258.75,98.30,61.27
42,15,480,119.37,42254.46,116594.36,5995.86,32647.29,29.39,23.81,0.00,35.52,259.11,98.12,61.38
43,15,480,121.96,42226.38,114807.70,5598.79,29799.65,28.63,23.80,0.00,34.73,259.66,98.47,62.89
43,15,480,115.59,39663.73,116056.44,5785.93,31771.12,30.33,23.80,0.00,34.62,259.64,98.03,62.93
43,15,480,116.79,39875.02,116206.05,5812.12,33361.53,30.04,23.80,0.00,34.67,259.55,98.28,62.79
24,15,720,97.48,60188.32,155605.92,6923.88,48829.38,35.41,23.76,0.00,61.97,423.10,97.91,60.59
24,15,720,97.87,60329.73,155247.46,6838.12,38375.33,35.88,23.77,0.00,61.91,424.06,97.86,60.81
24,15,720,102.33,62652.73,155336.25,6690.92,48510.96,34.31,23.76,0.00,62.00,422.91,98.03,60.58
26,15,720,106.04,60584.22,155452.92,6458.27,48429.42,32.93,23.81,0.00,57.33,422.18,98.10,65.09
26,15,720,108.54,61998.86,154785.23,6298.77,46416.81,31.92,23.77,0.00,57.36,423.01,98.24,65.27
26,15,720,106.69,60925.97,155599.77,6285.73,46975.92,33.04,23.82,0.00,57.42,421.28,98.23,64.96
28,15,720,114.89,60734.37,153489.00,6167.11,46856.71,30.20,23.79,0.00,53.15,421.15,98.37,69.81
28,15,720,116.21,61674.48,148560.68,5582.57,39234.68,30.15,23.82,0.00,53.29,422.44,98.54,69.94
28,15,720,116.41,61896.66,153284.96,5877.46,37589.36,30.01,23.82,0.00,53.41,423.49,98.52,70.14
29,15,720,121.07,61920.92,153010.86,5711.48,38779.21,28.53,23.78,0.00,51.62,422.02,98.50,72.14
29,15,720,121.49,62254.65,153271.14,5714.21,43708.31,28.08,23.83,0.00,51.52,421.54,98.46,72.15
29,15,720,124.15,63591.09,152799.14,5568.28,43079.72,28.09,23.79,0.00,51.47,423.36,98.49,72.47
30,15,720,127.00,63066.00,152422.90,5406.57,39970.80,27.48,23.81,0.00,49.93,422.90,98.83,74.66
30,15,720,126.09,62607.54,152483.73,5372.40,45400.33,27.90,23.79,0.00,49.83,423.84,98.60,74.83
30,15,720,119.41,59206.68,152330.03,5665.00,45640.63,29.53,23.80,0.00,49.75,423.17,98.48,74.88
31,15,720,120.83,57702.08,152679.52,5590.45,36011.71,28.55,23.80,0.00,48.20,420.91,98.45,76.66
31,15,720,125.68,59857.25,152012.61,5286.10,43717.32,27.97,23.81,0.00,48.19,423.09,98.58,77.16
31,15,720,124.84,59992.44,152415.32,5427.42,46077.00,28.01,23.80,0.00,48.20,421.86,98.57,76.87
32,15,720,126.08,58751.81,151231.59,5372.41,48980.28,27.52,23.79,0.00,46.75,422.54,98.55,79.30
44,15,480,120.23,40571.23,116335.98,5775.70,32449.02,29.14,23.79,0.00,33.87,259.58,98.33,64.91
44,15,480,120.71,40789.72,116204.50,5642.25,33060.55,29.00,23.82,0.00,33.92,259.41,98.27,64.82
44,15,480,120.63,40702.70,116218.75,5723.32,24313.80,28.73,23.81,0.00,33.88,259.22,98.26,64.52
45,15,480,124.03,40965.60,116267.71,5726.53,31364.84,28.20,23.83,0.00,33.12,259.58,98.26,65.94
45,15,480,121.43,40084.77,116449.69,5631.42,33816.04,28.80,23.82,0.00,33.16,258.71,98.40,65.57
45,15,480,123.54,40732.43,115905.80,5454.42,28796.13,28.46,23.80,0.00,33.32,260.04,98.32,65.68
46,15,480,125.47,40620.53,115979.35,5551.98,29672.20,28.10,23.81,0.00,32.49,259.41,98.31,67.02
46,15,480,123.20,39913.11,113558.48,5440.83,25982.02,28.28,23.81,0.00,32.53,259.62,98.46,67.00
46,15,480,123.70,40137.62,115905.98,5676.52,27124.87,28.28,23.80,0.00,32.59,259.42,98.38,67.01
47,15,480,127.70,40447.73,115860.55,5263.02,27605.51,27.29,23.81,0.00,31.83,259.74,98.53,68.54
47,15,480,127.01,40225.17,115955.06,5409.17,29584.38,27.59,23.81,0.00,31.79,259.27,98.41,68.42
47,15,480,129.25,40989.34,115675.00,5324.60,31867.64,27.19,23.83,0.00,31.84,259.67,98.43,68.45
48,15,480,130.01,40420.41,115796.94,5345.35,31139.96,26.79,23.80,0.00,31.21,258.87,98.49,69.58
48,15,480,131.78,40554.24,115550.54,5312.33,27584.17,26.52,23.82,0.00,31.20,259.69,98.64,69.83
48,15,480,131.36,40382.08,115594.52,5279.12,25721.42,26.77,23.82,0.00,31.24,259.41,98.54,69.72
33,15,720,132.09,59609.60,151576.79,5180.55,39870.15,26.70,23.81,0.00,45.38,423.40,98.68,81.98
33,15,720,133.01,60268.14,150721.21,5111.15,41804.33,26.05,23.83,0.00,45.47,424.43,98.98,82.17
33,15,720,129.61,58194.13,151218.12,5282.70,38038.12,26.75,23.81,0.00,45.35,422.48,98.65,81.85
34,15,720,134.38,58982.03,150876.44,5043.26,40621.32,26.17,23.81,0.00,44.09,422.54,98.86,84.22
34,15,720,135.11,59141.85,150679.79,4990.24,40322.79,25.78,23.81,0.00,44.16,423.46,98.91,84.26
34,15,720,134.80,59232.98,151056.12,5003.74,38822.12,25.71,23.81,0.00,44.04,423.05,99.03,84.31
14,15,1080,93.32,99074.04,159688.93,4219.29,42580.93,37.48,23.78,0.00,106.81,774.24,97.72,66.23
14,15,1080,88.80,94975.12,157762.07,4280.79,34840.21,39.26,23.72,0.00,107.39,770.63,97.62,66.02
14,15,1080,92.24,98355.93,158613.36,4209.00,42365.86,36.98,23.73,0.00,106.91,771.33,97.78,66.12
15,15,1080,98.87,98751.00,157321.27,4149.13,43595.80,35.61,23.78,0.00,100.50,773.80,97.96,70.45
15,15,1080,93.91,94129.64,156148.67,4197.27,42992.53,37.43,23.80,0.00,100.35,769.83,97.80,70.29
15,15,1080,96.59,96880.63,158188.47,4134.47,43590.87,36.27,23.77,0.00,100.77,772.24,98.01,70.33
16,15,1080,104.26,98306.06,156170.06,4028.62,39402.81,33.62,23.79,0.00,94.45,772.04,98.11,74.68
16,15,1080,103.09,96335.39,156354.88,4014.19,40415.88,33.85,23.77,0.00,94.45,771.52,98.15,74.72
16,15,1080,100.95,94791.92,155565.25,4040.69,42626.81,34.20,23.78,0.00,94.29,770.42,98.10,74.80
17,15,1080,109.91,97347.23,155947.41,3933.59,37825.12,31.79,23.81,0.00,88.88,772.43,98.18,78.96
17,15,1080,109.52,96932.25,155109.65,3971.06,40612.06,31.85,23.80,0.00,88.96,770.97,98.21,79.10
17,15,1080,109.76,97514.67,155950.24,3902.88,34778.24,31.83,23.80,0.00,88.94,772.79,98.26,79.16
18,15,1080,116.34,97170.24,155242.00,3857.67,41837.44,30.37,23.82,0.00,83.79,771.73,98.35,83.65
18,15,1080,120.97,101139.87,155035.67,3858.83,38859.33,28.90,23.83,0.00,83.80,772.76,98.42,83.61
18,15,1080,119.47,100122.57,155844.22,3852.89,38201.61,28.62,23.79,0.00,84.06,772.27,98.34,83.41
19,15,1080,124.03,98150.23,154454.32,3777.79,36311.32,27.88,23.82,0.00,79.96,774.14,98.46,87.69
19,15,1080,120.66,96248.01,153631.32,3783.16,33104.63,28.82,23.81,0.00,79.92,771.81,98.39,87.84
19,15,1080,121.03,95621.42,154978.95,3747.95,42820.21,28.41,23.83,0.00,79.36,770.25,98.41,88.32
20,15,1080,123.90,93674.45,155258.05,3698.05,41378.35,28.12,23.82,0.00,75.80,769.65,98.44,93.72
20,15,1080,128.07,96741.80,154269.45,3664.55,38986.65,27.07,23.78,0.00,75.74,770.73,98.52,93.56
20,15,1080,125.86,94615.55,153778.60,3708.75,45225.65,27.52,23.82,0.00,75.33,770.37,98.49,93.88
21,15,1080,133.13,95678.24,158611.95,3493.67,46874.48,26.25,23.78,0.00,71.98,737.93,98.24,97.92
21,15,1080,138.09,99413.34,159815.76,3484.67,50616.14,24.88,23.78,0.00,72.14,737.35,98.53,97.70
21,15,1080,137.47,98733.71,159202.86,3561.24,49010.90,25.02,23.81,0.00,72.04,738.52,98.57,97.81
22,15,1080,132.46,94105.79,153639.55,3495.36,52912.50,24.39,23.48,0.00,70.66,722.84,97.38,97.70
22,15,1080,182.93,111416.97,210130.32,6876.18,119014.27,22.72,23.55,0.00,72.76,729.71,96.68,96.50
22,15,1080,135.06,97127.00,153080.50,3487.14,53958.05,23.02,23.37,0.00,72.30,726.11,97.01,96.87
23,15,1080,132.58,93542.90,147487.30,3371.91,54203.87,22.25,23.07,0.00,70.86,721.97,94.23,96.55
23,15,1080,125.66,89882.74,146422.96,3289.13,54814.57,24.63,23.00,0.00,70.77,718.07,94.69,96.26
23,15,1080,164.65,105061.35,199712.17,5154.87,114686.52,21.78,22.92,0.00,71.57,720.86,94.65,96.53
23,15,1080,135.29,95059.95,156527.70,3573.35,56806.78,22.24,22.95,0.00,71.33,723.49,94.78,96.75
23,15,1080,160.68,100510.92,193795.04,5010.35,107240.65,21.80,22.81,0.00,72.41,721.89,93.93,96.44
25,15,1080,163.97,98818.50,195304.56,5767.96,125348.72,19.60,22.24,0.00,69.47,706.50,90.93,95.21
====
22,15,1080,165.40,108488.13,205323.41,5776.77,120985.45,17.28,23.55,0.00,74.62,727.01,96.49,95.81
22,15,1080,180.09,106436.12,219408.36,6348.36,132253.27,18.66,23.33,0.00,74.19,722.67,95.78,95.96
22,15,1080,155.80,104783.34,187428.82,5724.00,97089.14,18.75,23.44,0.00,74.04,728.32,96.46,95.86
23,15,1080,133.48,103202.16,204203.17,5786.30,126874.91,15.02,23.03,0.00,73.44,716.91,94.04,95.08
23,15,1080,196.37,111726.54,224338.30,7349.61,150983.00,15.44,23.19,0.00,73.49,721.93,93.65,95.38
23,15,1080,121.63,97058.31,163978.91,4614.83,81486.65,15.82,23.12,0.00,73.62,717.21,96.58,94.35
24,15,1080,181.43,99693.84,196724.12,5606.83,118292.54,18.67,22.67,0.00,69.73,709.98,92.61,95.93
24,15,1080,136.79,95964.57,166348.29,5906.67,92380.83,15.18,22.69,0.00,72.73,709.56,91.99,94.34
24,15,1080,206.23,108019.86,212399.58,8401.96,144255.71,14.59,22.85,0.00,74.14,716.42,91.95,95.10
19,15,1080,126.15,101793.39,155210.32,3763.42,46446.95,26.61,23.79,0.00,79.63,771.65,98.54,90.49
19,15,1080,125.27,102392.28,156568.21,3767.16,40101.63,25.63,23.82,0.00,79.35,770.25,98.49,90.70
19,15,1080,123.71,101865.49,156582.68,3822.00,39507.47,26.05,23.80,0.00,79.92,771.68,98.49,90.59
20,15,1080,125.40,103751.24,156895.65,3689.95,41784.20,23.51,23.79,0.00,75.85,762.51,98.61,94.87
20,15,1080,125.78,100899.87,157060.20,3736.90,46611.10,24.49,23.84,0.00,75.90,765.13,98.58,94.56
20,15,1080,126.84,99143.91,156785.95,3700.10,46339.75,26.35,23.79,0.00,75.88,769.90,98.52,94.72
21,15,1080,144.58,111215.18,199106.57,6220.33,103360.81,17.18,23.84,0.00,76.72,735.71,98.00,95.67
21,15,1080,124.09,105429.52,193864.57,5084.05,95488.05,17.68,23.82,0.00,74.63,735.18,98.00,95.92
21,15,1080,123.99,99867.39,169922.19,4727.86,72804.62,19.52,23.85,0.00,76.14,733.57,98.13,96.01
22,15,1080,140.02,102460.57,191962.77,5285.32,105464.36,17.91,23.51,0.00,74.64,726.47,96.37,95.47
22,15,1080,120.00,105406.45,191353.23,5610.59,106136.27,14.12,23.48,0.00,77.87,727.94,96.40,94.83
22,15,1080,122.65,107688.57,197623.09,5489.64,111709.36,15.20,23.54,0.00,77.53,732.18,96.44,95.26
23,15,1080,295.67,130150.46,269232.48,13854.87,215402.57,13.68,23.17,0.00,72.76,719.64,93.89,95.47
23,15,1080,147.00,96091.54,171483.30,4647.52,83378.26,19.06,22.87,0.00,72.90,716.03,94.40,95.20
23,15,1080,189.90,104523.33,201180.39,6965.57,126366.09,17.87,22.94,0.00,73.39,718.87,93.49,95.52
24,15,1080,126.12,90562.73,151656.08,3796.25,72453.67,17.23,22.56,0.00,73.59,717.17,92.55,94.77
24,15,1080,185.30,104058.66,193014.46,6920.83,120914.42,15.45,22.67,0.00,73.72,699.91,93.12,95.19
24,15,1080,188.88,101097.03,202162.62,6185.00,131071.38,16.79,22.76,0.00,72.48,718.59,92.38,94.95
19,15,1080,123.01,102917.49,156854.05,3851.47,46595.42,25.43,23.82,0.00,79.96,771.89,98.53,90.47
19,15,1080,124.64,99903.91,155746.74,3781.16,37150.21,27.25,23.79,0.00,79.50,771.21,98.56,90.92
19,15,1080,124.47,102712.15,156259.26,3914.68,39102.53,26.02,23.81,0.00,79.86,771.57,98.54,90.60
19,15,1080,121.83,98426.64,155099.00,3845.11,38731.05,26.55,23.81,0.00,79.71,769.35,98.48,90.56
19,15,1080,123.38,99890.26,156288.05,3708.21,38481.37,26.96,23.77,0.00,79.80,772.15,98.48,90.66
19,15,1080,124.74,100149.46,156331.16,3828.47,36110.32,27.79,23.78,0.00,79.88,771.44,98.53,90.67
19,15,1080,121.21,98800.57,155882.79,3785.37,40115.53,27.16,23.81,0.00,80.17,771.18,98.47,90.36
19,15,1080,123.41,99660.20,155440.53,3848.89,40805.95,26.34,23.81,0.00,79.43,769.59,98.54,90.72
20,15,1080,131.43,101026.10,158202.40,3771.25,34279.25,26.21,23.83,0.00,75.66,761.56,98.56,95.15
20,15,1080,126.72,101665.86,156726.90,3736.05,47071.85,24.19,23.80,0.00,75.63,765.04,98.61,94.98
20,15,1080,128.33,99705.97,157018.95,3673.45,46774.80,25.66,23.82,0.00,75.26,764.71,98.58,94.98
20,15,1080,128.14,99703.71,157612.80,3657.50,46750.00,25.86,23.81,0.00,75.67,766.23,98.50,94.96
20,15,1080,131.42,102145.15,156900.40,3803.80,47470.80,25.90,23.82,0.00,75.76,768.84,98.58,94.98
20,15,1080,124.83,98475.89,156280.85,3711.35,45948.65,25.44,23.79,0.00,75.72,766.60,98.55,94.92
20,15,1080,128.48,100598.16,157620.90,3704.45,46143.65,25.24,23.83,0.00,75.46,762.71,98.59,95.01
20,15,1080,124.52,100046.97,156734.00,3793.30,46771.15,25.02,23.82,0.00,75.71,763.12,98.53,94.86
21,15,1080,120.00,114086.68,210481.14,6046.76,120593.29,14.59,23.88,0.00,75.74,736.10,98.00,95.73
21,15,1080,161.19,107337.37,200536.14,5760.43,103684.86,20.68,23.87,0.00,74.31,733.68,98.07,96.52
21,15,1080,198.64,123068.75,249944.48,8895.90,165900.33,14.87,23.91,0.00,76.61,733.87,97.77,95.72
21,15,1080,128.57,110837.09,203570.95,6679.05,109953.76,16.55,23.89,0.00,75.86,734.42,97.92,95.97
21,15,1080,214.99,121907.11,240525.14,8753.62,154471.90,15.86,23.89,0.00,75.32,734.73,97.75,96.20
21,15,1080,154.23,105943.85,203046.81,5856.00,108171.10,20.43,23.84,0.00,74.57,732.68,98.01,96.35
21,15,1080,156.64,106260.75,201936.71,6426.71,106021.81,19.49,23.85,0.00,75.87,733.33,97.85,96.65
21,15,1080,134.28,105890.32,183850.52,5630.48,83728.10,18.91,23.85,0.00,75.17,734.06,98.15,96.09
22,15,1080,184.32,110970.33,217636.55,6654.05,130844.18,17.35,23.51,0.00,74.25,726.78,95.98,95.69
22,15,1080,156.88,103749.12,189147.73,5658.45,98811.73,19.13,23.41,0.00,74.67,726.61,96.38,95.96
22,15,1080,142.03,106992.19,199843.18,5876.36,114096.36,16.48,23.50,0.00,74.08,728.01,96.47,95.51
22,15,1080,139.75,105470.63,191993.41,5337.14,103205.00,16.67,23.52,0.00,75.44,729.54,96.43,95.49
22,15,1080,120.00,113533.02,229431.86,7174.18,150233.14,12.86,23.52,0.00,75.11,726.35,96.00,94.66
22,15,1080,123.35,99596.38,177023.64,4511.41,86276.27,17.07,23.49,0.00,74.38,726.57,96.26,95.38
22,15,1080,134.67,105937.28,184652.95,5240.82,95869.95,16.62,23.68,0.00,75.82,731.41,96.50,95.62
22,15,1080,146.26,107817.62,208720.59,7223.23,130144.95,15.61,23.55,0.00,74.65,728.46,95.99,95.60
23,15,1080,120.00,99317.57,180596.39,4992.22,100743.87,12.16,23.07,0.00,74.94,724.52,93.67,94.82
23,15,1080,193.29,110184.95,223232.52,8913.52,152319.65,14.26,23.13,0.00,74.11,720.92,93.64,94.99
23,15,1080,158.19,102737.12,203511.00,6181.00,125826.22,15.56,23.28,0.00,74.43,722.45,94.46,95.17
23,15,1080,147.58,99436.68,192376.17,5309.57,112904.48,16.61,23.25,0.00,73.91,718.60,94.02,94.47
23,15,1080,120.00,100239.77,185840.30,5679.74,106947.52,10.67,22.95,0.00,74.33,716.55,93.25,93.91
23,15,1080,208.13,108478.07,225254.87,7710.61,154837.39,15.42,23.08,0.00,74.10,714.60,93.80,95.01
23,15,1080,242.03,118711.11,242808.04,11264.87,178014.39,13.10,23.17,0.00,73.11,714.20,94.56,95.63
23,15,1080,151.36,102126.29,199825.78,6304.13,123011.35,15.14,23.05,0.00,74.76,717.48,93.80,94.65
24,15,1080,193.61,102102.89,205417.83,6654.42,137408.83,16.56,22.83,0.00,72.37,708.91,92.92,94.77
24,15,1080,120.00,90294.76,149573.88,4050.75,73503.50,15.71,22.31,0.00,73.62,711.48,92.57,93.76
24,15,1080,122.72,99576.44,178150.83,5959.08,105848.67,13.26,22.65,0.00,72.64,713.38,91.67,95.60
24,15,1080,141.43,95733.93,168933.62,5024.04,93272.71,15.96,22.81,0.00,73.33,712.27,92.69,94.37
24,15,1080,295.34,127407.52,267678.75,13663.58,209916.00,12.70,22.83,0.00,71.53,704.77,91.70,95.06
24,15,1080,168.27,104842.03,190222.25,7910.46,122984.71,12.59,22.59,0.00,73.09,713.26,92.38,94.11
24,15,1080,207.69,107940.35,229741.25,8299.58,159639.08,13.43,22.66,0.00,73.04,713.39,91.79,94.50
24,15,1080,200.99,104325.42,205447.92,6543.46,126674.38,15.94,22.27,0.00,73.04,702.81,93.26,95.30
36,15,480,112.63,44319.44,125781.19,5986.39,40354.19,30.94,23.74,0.00,40.86,259.26,96.89,56.47
36,15,480,111.20,44794.78,126118.25,5909.78,36392.19,31.77,23.78,0.00,40.91,259.37,97.20,56.45
36,15,480,110.79,43678.59,125590.31,6036.69,35865.19,31.81,23.79,0.00,41.08,258.99,96.86,56.32
36,15,480,108.15,43573.91,123472.39,5924.72,26571.67,32.45,23.77,0.00,40.92,259.58,97.11,56.51
36,15,480,108.10,43372.55,126190.86,6074.39,35988.11,32.54,23.79,0.00,40.88,258.79,96.83,56.34
36,15,480,108.26,42482.42,125657.94,6065.44,28251.97,32.79,23.79,0.00,40.90,259.74,97.05,56.48
36,15,480,109.85,44281.50,125906.89,6039.94,38057.44,32.01,23.80,0.00,40.91,259.08,97.04,56.43
36,15,480,109.63,44278.96,125687.47,5919.86,36391.17,31.86,23.79,0.00,40.77,259.53,96.98,56.60
37,15,480,112.06,44139.15,125638.22,5844.30,30018.51,31.39,23.78,0.00,39.83,259.11,97.25,57.83
37,15,480,112.55,44402.88,125344.73,5899.70,33313.78,31.16,23.80,0.00,39.90,259.92,97.33,57.89
37,15,480,114.57,44844.25,125424.11,5774.59,31719.38,30.24,23.79,0.00,39.83,260.09,97.21,58.06
37,15,480,113.47,44195.36,125892.46,5906.16,37107.62,30.78,23.79,0.00,39.84,259.46,97.08,57.86
37,15,480,110.26,43385.45,125494.65,5911.22,35173.14,31.90,23.79,0.00,39.75,258.95,97.20,57.78
37,15,480,111.36,43332.06,125594.54,5884.41,30361.35,31.51,23.78,0.00,39.81,259.29,97.23,57.84
37,15,480,110.79,43549.45,125493.38,5998.92,36577.38,31.72,23.81,0.00,39.78,259.26,97.23,57.87
37,15,480,113.54,44339.15,125703.19,5875.19,32988.27,30.70,23.79,0.00,39.84,259.28,97.24,57.86
38,15,480,114.76,44226.60,122287.37,5683.00,36362.11,30.47,23.77,0.00,38.84,259.22,97.24,59.16
38,15,480,116.12,44737.63,125359.79,5688.71,36435.66,30.18,23.81,0.00,38.85,259.90,97.47,59.37
38,15,480,113.46,43114.94,125684.92,5710.76,26769.76,30.84,23.80,0.00,38.79,259.22,97.17,59.17
38,15,480,115.03,44056.66,125143.45,5706.84,28324.13,30.22,23.78,0.00,38.91,259.05,97.36,59.10
38,15,480,114.41,43837.95,125426.39,5878.84,32687.71,30.62,23.80,0.00,38.83,259.21,97.43,59.19
38,15,480,113.87,43935.28,125609.89,5858.05,31992.34,31.10,23.81,0.00,38.80,259.29,97.28,59.21
38,15,480,113.63,43634.60,125524.37,5751.50,33993.95,30.89,23.80,0.00,38.86,259.37,97.29,59.15
38,15,480,113.79,43910.26,125471.39,5804.26,35752.71,30.98,23.78,0.00,38.84,259.14,97.19,59.13
39,15,480,115.28,43407.70,125474.49,5775.10,28696.49,30.47,23.79,0.00,37.92,259.37,97.37,60.51
39,15,480,115.84,43431.94,124601.38,5695.74,27018.79,29.91,23.81,0.00,37.86,259.36,97.39,60.58
39,15,480,117.65,43780.20,124526.54,5708.69,30087.05,29.17,23.80,0.00,37.95,259.22,97.31,60.47
39,15,480,117.23,43891.69,125331.90,5656.95,31121.46,29.68,23.80,0.00,37.99,259.14,97.46,60.37
39,15,480,116.69,43900.61,124920.54,5664.69,33538.87,30.02,23.76,0.00,37.77,259.39,97.42,60.61
39,15,480,116.23,43688.35,125033.49,5732.54,31349.31,30.27,23.80,0.00,37.89,259.53,97.46,60.54
39,15,480,116.00,43414.09,124631.56,5795.00,33523.64,29.80,23.76,0.00,37.84,259.37,97.26,60.59
39,15,480,117.33,44095.59,124699.85,5662.00,30538.85,29.57,23.80,0.00,37.88,259.35,97.33,60.55
40,15,480,119.48,44064.49,124414.30,5585.73,27407.45,28.68,23.79,0.00,37.04,259.68,97.63,61.93
40,15,480,118.81,43725.75,124424.95,5568.05,26182.50,29.50,23.80,0.00,37.00,259.57,97.54,61.91
40,15,480,119.54,43882.61,121794.90,5279.40,25026.75,29.01,23.80,0.00,37.01,259.74,97.50,61.99
40,15,480,119.96,44222.95,124617.10,5567.48,34843.75,28.89,23.80,0.00,36.97,259.59,97.55,61.97
40,15,480,118.64,43706.07,124872.18,5699.30,32310.00,29.64,23.80,0.00,37.00,259.06,97.37,61.85
40,15,480,119.13,43807.74,124957.85,5641.35,36662.53,29.31,23.78,0.00,36.92,259.17,97.38,61.93
40,15,480,119.57,44003.26,124846.12,5727.65,31901.75,29.10,23.80,0.00,37.04,259.47,97.57,61.86
40,15,480,119.82,44159.70,123729.43,5516.57,26174.35,28.72,23.80,0.00,37.04,259.80,97.44,61.99
41,15,480,122.04,43763.72,124212.10,5546.76,30653.83,28.38,23.80,0.00,36.19,259.43,97.77,63.17
41,15,480,121.61,43835.14,124235.73,5458.66,29783.90,28.36,23.79,0.00,36.07,259.68,97.61,63.35
41,15,480,121.40,43584.41,124887.10,5375.61,32938.93,29.14,23.82,0.00,36.08,259.44,97.48,63.31
41,15,480,120.67,43927.38,124611.76,5494.37,30404.17,28.14,23.82,0.00,36.29,259.35,97.55,63.15
41,15,480,120.77,43219.86,124270.10,5460.29,29006.37,28.38,23.81,0.00,36.10,259.20,97.60,63.24
41,15,480,122.82,44371.79,123650.10,5371.27,31631.24,27.97,23.79,0.00,36.10,259.50,97.62,63.34
41,15,480,120.90,43568.74,124619.66,5354.71,30867.80,28.48,23.80,0.00,36.11,259.25,97.58,63.27
41,15,480,120.73,43525.75,124680.39,5413.54,29837.41,28.94,23.80,0.00,36.15,259.04,97.60,63.14
42,15,480,124.97,44204.30,124908.52,5393.69,36531.19,27.68,23.81,0.00,35.26,259.42,97.67,64.60
42,15,480,124.65,43992.52,124253.21,5392.90,29832.07,27.93,23.80,0.00,35.32,259.63,97.82,64.62
42,15,480,123.36,43593.62,124931.95,5414.12,30424.02,28.05,23.80,0.00,35.31,259.15,97.78,64.55
42,15,480,125.00,44078.27,124617.88,5431.76,33116.48,28.06,23.80,0.00,35.35,259.46,97.84,64.58
42,15,480,122.76,43743.64,124049.21,5348.60,32148.71,27.34,23.80,0.00,35.30,258.93,97.71,64.46
42,15,480,123.00,43637.30,124196.24,5429.07,32257.17,27.80,23.81,0.00,35.32,259.28,97.75,64.58
42,15,480,123.65,43592.64,124059.05,5488.31,35093.12,28.07,23.82,0.00,35.27,259.15,97.66,64.58
42,15,480,123.72,43783.14,124249.14,5323.57,29810.52,28.18,23.82,0.00,35.34,259.71,97.76,64.68
25,15,720,108.56,63553.14,169408.80,5822.76,45760.36,32.72,23.77,0.00,59.30,421.56,97.68,65.96
25,15,720,111.62,65013.13,170331.16,5661.28,41123.04,31.59,23.75,0.00,59.33,422.28,97.67,66.11
25,15,720,111.22,64255.47,169789.24,5893.40,42202.48,31.47,23.77,0.00,59.23,421.24,97.80,65.95
25,15,720,112.37,64775.16,168497.28,5762.04,39510.40,31.14,23.76,0.00,59.43,422.12,97.77,65.96
25,15,720,112.00,65493.15,168140.20,5698.52,45234.48,31.44,23.77,0.00,59.28,423.78,97.80,66.31
25,15,720,112.74,65416.74,168769.92,5675.28,47325.60,30.84,23.80,0.00,59.47,422.20,97.74,65.96
25,15,720,111.74,65564.41,168761.20,5818.32,48781.92,31.47,23.78,0.00,59.35,423.98,97.79,66.24
25,15,720,109.97,64781.31,169597.76,5696.00,40920.52,32.33,23.79,0.00,59.47,423.53,97.77,66.20
26,15,720,114.84,65243.93,168416.54,5646.69,44979.88,30.64,23.77,0.00,57.22,423.15,97.95,68.45
26,15,720,114.99,64970.97,168189.23,5500.58,47039.42,30.37,23.79,0.00,57.00,423.14,97.86,68.53
26,15,720,115.26,65189.66,169264.85,5645.38,43787.85,30.24,23.76,0.00,57.02,423.32,97.85,68.55
26,15,720,114.11,64656.68,168332.77,5484.88,44582.77,30.75,23.76,0.00,57.05,422.60,97.89,68.43
26,15,720,114.55,65018.30,168205.46,5606.81,50822.65,30.92,23.79,0.00,57.05,422.47,97.85,68.43
26,15,720,114.69,64118.78,168259.35,5596.00,47255.62,30.20,23.81,0.00,57.22,421.58,97.91,68.21
26,15,720,112.35,63119.93,168383.69,5767.62,47357.23,31.11,23.76,0.00,57.09,421.31,97.78,68.20
26,15,720,112.99,63481.01,169073.23,5799.46,43300.08,31.12,23.78,0.00,56.98,420.08,97.75,68.10
27,15,720,118.88,65232.44,167413.48,5415.81,45979.33,29.47,23.78,0.00,55.11,422.38,98.05,70.68
27,15,720,117.63,64428.75,168087.70,5425.00,48802.52,29.81,23.77,0.00,55.09,422.95,97.88,70.82
27,15,720,117.60,64283.73,167619.74,5444.11,43803.59,29.65,23.79,0.00,55.03,421.65,97.95,70.66
27,15,720,119.16,65372.83,167259.19,5372.30,46443.26,29.53,23.79,0.00,55.06,423.36,98.07,68.52
27,15,720,120.12,65424.25,167237.56,5272.00,43284.93,28.96,23.81,0.00,55.11,422.96,98.11,67.93
27,15,720,114.00,61808.42,157880.37,6068.07,42296.41,30.55,23.82,0.00,55.16,421.65,98.19,66.99
27,15,720,114.98,62790.84,152496.26,6143.37,40984.67,30.12,23.79,0.00,55.30,423.91,98.33,66.97
27,15,720,114.70,63243.16,152613.52,6129.70,46597.41,30.62,23.78,0.00,55.34,423.66,98.35,66.88
28,15,720,119.01,63375.64,152329.18,6016.11,43588.89,28.76,23.77,0.00,53.31,422.00,98.42,69.03
28,15,720,119.52,63460.83,151979.61,5977.46,49056.57,28.94,23.80,0.00,53.31,422.06,98.48,69.02
28,15,720,117.10,62210.12,153153.21,6103.61,48473.32,29.65,23.81,0.00,53.35,421.59,98.36,68.93
